Gujrānwāla;Gujranwala;Pakistan;2,050,000
Brisbane;Brisbane;Australia;2,025,000
Hyderābād;Hyderabad;Pakistan;2,025,000
Kansas City;Kansas City;United States of America;2,025,000
München;Munich;Germany;2,025,000
Stockholm;Stockholm;Sweden;2,000,000
Wien;Vienna;Austria;2,000,000
Indore;Indore;India;1,980,000
Stuttgart;Stuttgart;Germany;1,980,000
Ad-Dammām;Dammam;Saudi Arabia;1,970,000
Kampala;Kampala;Uganda;1,970,000
Puebla;Puebla;Mexico;1,970,000
Vadodara;Vadodara;India;1,970,000
Tangshan;Tangshan;China;1,960,000
Taoyuan;Taoyuan;Taiwan (Rep. of China);1,960,000
Amsterdam;Amsterdam;Netherlands;1,950,000
Indianapolis;Indianapolis;United States of America;1,950,000
Frankfurt;Frankfurt;Germany;1,930,000
Bakı;Baku;Azerbaijan;1,920,000
Bamako;Bamako;Mali;1,920,000
Xiamen;Xiamen;China;1,920,000
Bhopāl;Bhopal;India;1,910,000
Coimbatore;Coimbatore;India;1,910,000
Las Vegas;Las Vegas;United States of America;1,910,000
Maputo;Maputo;Mozambique;1,910,000
Maracaibo;Maracaibo;Venezuela;1,910,000
Köln;Cologne;Germany;1,900,000
Jilin;Jilin;China;1,890,000
Rabat;Rabat;Morocco;1,890,000
Bruxelles;Brussels;Belgium;1,870,000
Antananarivo;Tananarive;Madagascar;1,860,000
Barranquilla;Barranquilla;Colombia;1,850,000
Minsk;Minsk;Belarus;1,850,000
Multān;Multan;Pakistan;1,850,000
Al-Kuwayt;Kuwait City;Kuwait;1,840,000
Donėc'k;Donetsk;Ukraine;1,840,000
Hiroshima;Hiroshima;Japan;1,840,000
La Paz;La Paz;Bolivia;1,840,000
Charkiv;Kharkov;Ukraine;1,830,000
Lusaka;Lusaka;Zambia;1,830,000
Ludhiāna;Ludhiana;India;1,820,000
Āgra;Agra;India;1,810,000
Columbus;Columbus;United States of America;1,810,000
Changzhou;Changzhou;China;1,790,000
Palembang;Palembang;Indonesia;1,790,000
Charlotte;Charlotte;United States of America;1,780,000
Toluca;Toluca;Mexico;1,770,000
Milwaukee;Milwaukee;United States of America;1,760,000
Baotou;Baotou;China;1,750,000
Manaus;Manaus;Brazil;1,750,000
Valencia;Valencia;Venezuela;1,750,000
Yaoundé;Yaounde;Cameroon;1,750,000
Huizhou;Huizhou;China;1,740,000
Tijuana;Tijuana;Mexico;1,740,000
Vitória;Vitoria;Brazil;1,740,000
Austin;Austin;United States of America;1,720,000
Kochi;Cochin;India;1,720,000
